Event ID,Event Type,Detected On,Start Time,End Time,Confidence,Confidence Score,Duration,Zone,Status,Verified On,Event Sensors,MNF
395,System Event,2024-04-03T15:59:34.8898856,2024-02-08T00:00:00,2024-02-08T23:59:59.999,High,1.06,1215,Nanyang,New,2024-04-03T15:59:34.8898857,western_42,0
394,System Event,2024-02-06T17:38:32.2781505,2024-02-06T00:00:00,2024-02-07T23:59:59.999,VeryHigh,19.4,2865,Murnane,New,2024-02-07T17:38:06.8062915,"mnsr_14, mnsr_29, mnsr_44, mnsr_24, mnsr_46",1
392,System Event,2024-02-05T17:35:19.9392652,2024-02-05T00:00:00,2024-02-06T23:59:59.999,VeryHigh,11.6,2505,Nanyang,New,2024-02-06T17:36:50.7984497,"nysr_27, nysr_24, nysr_25, western_42",1
391,System Event,2024-02-05T17:38:14.4415552,2024-02-05T00:00:00,2024-02-05T23:59:59.999,VeryHigh,11.09,990,Murnane,New,2024-02-05T17:38:14.4415562,"fcph_44, mnsr_44, mnsr_32, mnsr_14, mnsr_46, mnsr_29, mnsr_13",1
389,System Event,2024-02-03T20:38:16.6683528,2024-02-03T00:00:00,2024-02-03T23:59:59.999,VeryHigh,31.17,810,Murnane,New,2024-02-03T20:38:16.6683542,mnsr_44,0
387,System Event,2024-02-02T17:31:31.5054396,2024-02-02T00:00:00,2024-02-02T23:59:59.999,High,1.15,75,Bukit Batok,New,2024-02-02T17:31:31.5054405,bbsr_16,1
388,System Event,2024-02-01T09:49:23.5976522,2024-01-31T00:00:00,2024-02-02T23:59:59.999,VeryHigh,29.95,4290,Murnane,New,2024-02-02T20:38:13.0155912,"mnsr_37, mnsr_44, mnsr_14, fcph_47, mnsr_29",1
382,System Event,2024-01-31T19:32:12.5107529,2024-01-31T00:00:00,2024-01-31T23:59:59.999,High,1.43,1110,Sentosa,New,2024-01-31T19:32:12.5107543,"ssr_NetInflow, fcph_48",1
385,System Event,2024-01-30T20:42:29.9328926,2024-01-30T00:00:00,2024-01-30T23:59:59.999,VeryHigh,11.41,1425,Murnane,New,2024-02-01T10:20:46.4768707,"mnsr_14, mnsr_37",1
380,System Event,2024-01-30T18:35:11.7802001,2024-01-30T00:00:00,2024-01-30T23:59:59.999,High,1.68,750,Nanyang,New,2024-01-30T18:35:11.780201,nysr_28,0
379,System Event,2024-01-29T20:40:17.0385209,2024-01-29T00:00:00,2024-01-29T23:59:59.999,VeryHigh,10.05,1425,Murnane,New,2024-01-30T09:29:29.3759128,"fcph_47, fcph_44, mnsr_37, mnsr_14, mnsr_13, mnsr_NetInflow",1
376,System Event,2024-01-28T20:38:22.7842179,2024-01-28T00:00:00,2024-01-28T23:59:59.999,VeryHigh,7.2,1380,Murnane,New,2024-01-28T20:38:22.7842196,"mnsr_29, mnsr_37, mnsr_13",0
375,System Event,2024-01-27T20:39:27.1821719,2024-01-27T00:00:00,2024-01-27T23:59:59.999,VeryHigh,8.55,1425,Murnane,New,2024-01-27T20:39:27.182173,"mnsr_46, mnsr_44, mnsr_24, mnsr_13, fcph_44",1
374,System Event,2024-01-27T18:34:53.7165287,2024-01-27T00:00:00,2024-01-27T23:59:59.999,High,1.74,195,Nanyang,New,2024-01-27T18:34:53.71653,nysr_26,0
373,System Event,2024-01-25T20:40:56.9713052,2024-01-25T00:00:00,2024-01-26T23:59:59.999,VeryHigh,4.39,2655,Murnane,New,2024-01-26T20:40:15.0674995,"mnsr_37, mnsr_13, mnsr_29, mnsr_11",1
371,System Event,2024-01-23T17:31:31.4566755,2024-01-23T00:00:00,2024-01-23T23:59:59.999,VeryHigh,5.55,375,Bukit Batok,New,2024-01-23T17:31:31.4566768,bbsr_16,1
370,System Event,2024-01-22T20:40:24.4810002,2024-01-22T00:00:00,2024-01-22T23:59:59.999,VeryHigh,3.92,1230,Murnane,New,2024-01-22T20:40:24.4810017,"mnsr_43, mnsr_24, mnsr_31",1
369,System Event,2024-01-22T13:27:57.8061834,2024-01-21T00:00:00,2024-01-21T23:59:59.999,High,0.75,90,Murnane,New,2024-01-22T13:27:57.8061849,fcph_47,1
362,System Event,2024-01-22T07:32:19.4759335,2024-01-19T00:00:00,2024-01-19T23:59:59.999,High,0.56,45,Bukit Batok,New,2024-01-22T07:32:19.4759348,bbsr_16,0
358,System Event,2024-01-19T20:40:02.6372382,2024-01-19T00:00:00,2024-01-19T23:59:59.999,VeryHigh,2.82,780,Murnane,New,2024-01-19T20:40:02.6372391,"fcph_47, mnsr_43",0
366,System Event,2024-01-13T04:44:38.14962,2024-01-12T00:00:00,2024-01-19T23:59:59.999,VeryHigh,38.49,11385,Sentosa,New,2024-01-22T07:48:54.6194307,"fcph_49, ssr_NetInflow",1
367,System Event,2024-01-17T02:25:25.2764433,2024-01-15T00:00:00,2024-01-16T23:59:59.999,VeryHigh,7.26,2190,Murnane,New,2024-01-22T08:23:14.266362,fcph_47,0
345,System Event,2024-04-18T06:08:15.0341999,2024-01-13T00:00:00,2024-01-14T23:59:59.999,VeryHigh,15.1,2625,Murnane,New,2024-04-18T06:08:15.0342,"mnsr_44, fcph_44",1
340,System Event,2024-01-13T18:34:44.6109537,2024-01-13T00:00:00,2024-01-14T23:59:59.999,VeryHigh,8.4,2520,Nanyang,New,2024-01-14T18:34:58.8444841,nysr_27,0
335,System Event,2024-01-12T18:34:48.3015129,2024-01-12T00:00:00,2024-01-12T23:59:59.999,High,1.89,1380,Nanyang,New,2024-01-13T04:52:20.5964881,"nysr_27, nysr_41",0
336,System Event,2024-04-18T06:08:15.0217918,2024-01-11T00:00:00,2024-01-12T23:59:59.999,VeryHigh,14.77,2625,Murnane,New,2024-04-18T06:08:15.0217919,mnsr_44,1
328,System Event,2024-01-12T10:03:20.3534497,2024-01-10T00:00:00,2024-01-10T23:59:59.999,VeryHigh,17.71,1020,Murnane,New,2024-01-12T10:03:22.7303163,mnsr_48,1
326,System Event,2024-01-12T05:15:41.3789974,2024-01-08T00:00:00,2024-01-09T23:59:59.999,VeryHigh,19.52,2850,Murnane,New,2024-01-12T08:04:15.5167123,"mnsr_48, mnsr_39, fcph_47, mnsr_19, mnsr_42, mnsr_44",1
325,System Event,2024-01-12T07:48:44.7726877,2024-01-08T00:00:00,2024-01-08T23:59:59.999,High,2,1230,Sentosa,New,2024-01-12T07:48:44.7726886,"fcph_49, ssr_NetInflow",1
321,System Event,2024-01-12T07:25:21.3314141,2024-01-08T00:00:00,2024-01-08T23:59:59.999,VeryHigh,2.08,1245,Bukit Batok,New,2024-01-12T07:25:21.3314149,bbsr_17,1
310,System Event,2024-04-18T06:08:15.0061792,2024-01-08T00:00:00,2024-01-08T23:59:59.999,VeryHigh,2.28,855,Nanyang,New,2024-04-18T06:08:15.0061793,"nysr_28, nysr_41, nysr_30, nysr_14",0
317,System Event,2024-01-12T03:21:28.2323649,2024-01-07T00:00:00,2024-01-07T23:59:59.999,VeryHigh,11.45,1350,Murnane,New,2024-01-12T03:21:28.232366,"mnsr_48, mnsr_44",1
320,System Event,2024-01-12T07:20:20.1693434,2024-01-06T00:00:00,2024-01-06T23:59:59.999,High,0.82,300,Bukit Batok,New,2024-01-12T07:20:20.1693443,bbsr_12,0
316,System Event,2024-01-11T13:56:11.4161373,2024-01-05T00:00:00,2024-01-06T23:59:59.999,VeryHigh,7.87,2850,Murnane,VerifiedFalse,2024-01-12T01:05:23.4995131,"mnsr_48, fcph_47",1
324,System Event,2024-01-12T07:43:12.7183379,2024-01-05T00:00:00,2024-01-05T23:59:59.999,High,1.9,435,Sentosa,New,2024-01-12T07:43:12.7183392,fcph_49,1
313,System Event,2024-04-18T06:08:15.0133663,2024-01-04T00:00:00,2024-01-04T23:59:59.999,VeryHigh,3.37,1005,Murnane,New,2024-04-18T06:08:15.0133663,mnsr_11,0
312,System Event,2024-01-11T09:48:32.8051123,2024-01-03T00:00:00,2024-01-03T23:59:59.999,VeryHigh,4.11,930,Murnane,New,2024-01-11T09:48:32.8051135,mnsr_48,1
309,System Event,2024-01-11T06:46:26.7107562,2024-01-03T00:00:00,2024-01-03T23:59:59.999,VeryHigh,3.84,510,Nanyang,New,2024-01-11T06:46:26.7107574,nysr_27,0
319,System Event,2024-01-12T07:12:48.6200378,2024-01-02T00:00:00,2024-01-02T23:59:59.999,High,0.81,885,Bukit Batok,New,2024-01-12T07:12:48.6200387,bbsr_16,0
311,System Event,2024-01-11T08:06:26.7238187,2024-01-02T00:00:00,2024-01-02T23:59:59.999,VeryHigh,2.69,1290,Murnane,New,2024-01-11T08:06:26.7238196,"fcph_44, mnsr_33, mnsr_41, mnsr_30",1
308,System Event,2024-01-11T06:22:00.1708344,2024-01-02T00:00:00,2024-01-02T23:59:59.999,High,1.88,960,Nanyang,New,2024-01-11T06:22:00.1708355,nysr_30,0
323,System Event,2024-01-12T07:36:09.8875287,2024-01-01T00:00:00,2024-01-02T23:59:59.999,VeryHigh,3.14,2205,Sentosa,New,2024-01-12T07:38:10.061879,fcph_49,1
